Net Income (in millions),Close NASDQ,SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",medical cpi,US CPI,US GDP,DPI US,industrial production,Inflation Rate,PCE US,PPI US,Unemployment,Commercial and Industral loans,Government investment,roa,roi,roe,R&D expenses,EPS
0.273624378,0.045886636,0.397632312,0.586111877,0.144186047,0.461126005,0.016920723,0.032066667,0.220700697,0.030851875,0.453312995,0.233333333,0.180859067,0.013795403,0.076313443,0.219481341,0.030357463,0.557371705,0.573185192,0.595032237,0.029113567,0.289719626
0.273624378,0.045297668,0.375348189,0.57316065,0.138689218,0.461126005,0.016906053,0.032247171,0.221487699,0.031660487,0.447932902,0.233333333,0.180888229,0.01494502,0.076176974,0.219978314,0.030787368,0.557332804,0.573202104,0.594985009,0.029702641,0.289719626
0.273624378,0.052194292,0.428272981,0.57316065,0.152642706,0.471849866,0.016891384,0.032427674,0.2222747,0.0324691,0.442552809,0.233333333,0.180917388,0.016094636,0.076040505,0.220475287,0.031217273,0.557293903,0.573219016,0.594937782,0.030291717,0.289719626
0.273624378,0.056114973,0.461350975,0.587765225,0.176744186,0.490616622,0.016876714,0.032608178,0.223061702,0.033277711,0.437172716,0.233333333,0.180946549,0.017244253,0.075904036,0.22097226,0.031647178,0.557255002,0.573235927,0.594890554,0.030880791,0.289719626
0.273624378,0.056090486,0.437325905,0.588316341,0.190274841,0.482573727,0.016862044,0.032788683,0.2238487,0.034086324,0.431792624,0.233333333,0.18097571,0.01839387,0.075767567,0.221469233,0.032077084,0.557216101,0.573252839,0.594843327,0.031469866,0.289719626
0.273624378,0.058321307,0.43454039,0.602369799,0.182029598,0.477211796,0.016847375,0.032969187,0.224635701,0.034894937,0.426412531,0.233333333,0.181004869,0.019543487,0.075631098,0.221966206,0.032506989,0.557177201,0.57326975,0.594796099,0.032058941,0.289719626
0.273624378,0.058196162,0.445334262,0.615872141,0.18858351,0.474530831,0.016832705,0.033149691,0.225422702,0.03570355,0.421032438,0.233333333,0.18103403,0.020693104,0.075494629,0.222463179,0.032936893,0.5571383,0.573286662,0.594748871,0.032648015,0.289719626
0.273624378,0.062335111,0.451253482,0.610085423,0.19577167,0.485254692,0.016818036,0.033330194,0.2262097,0.036512161,0.415652345,0.2,0.181063191,0.021842721,0.07535816,0.222960152,0.033366798,0.557099399,0.573303573,0.594701644,0.03323709,0.289719626
0.273624378,0.062689824,0.450557103,0.611187655,0.201691332,0.474530831,0.016803366,0.033510698,0.226996702,0.037320774,0.410272253,0.2,0.181092351,0.022992338,0.07535816,0.222960152,0.033796703,0.557060498,0.573320485,0.594654416,0.033826165,0.289719626
0.273624378,0.060542709,0.454038997,0.609809865,0.207610994,0.485254692,0.016803366,0.033691203,0.227783703,0.038129387,0.40489216,0.2,0.181121512,0.024141955,0.075193052,0.222576127,0.034226608,0.557021597,0.573337396,0.594607189,0.03441524,0.289719626
0.273624378,0.060805218,0.4704039,0.608156517,0.215221987,0.493297587,0.017655891,0.033691203,0.228570704,0.038129387,0.40489216,0.2,0.181121512,0.024141955,0.075027944,0.222192103,0.034656514,0.556982697,0.573354308,0.594559961,0.035004314,0.289719626
0.273624378,0.063196925,0.480501393,0.619178837,0.213742072,0.493297587,0.018508416,0.033882934,0.229357702,0.038152042,0.40727767,0.2,0.181560584,0.027015997,0.074862836,0.221808078,0.035086419,0.556943796,0.57337122,0.594512734,0.035593389,0.289719626
0.273624378,0.063375728,0.456824513,0.616974373,0.218181818,0.501340483,0.019360939,0.034074666,0.230144704,0.038174697,0.40966318,0.2,0.181999659,0.029890039,0.074697729,0.221424053,0.035516323,0.556904895,0.573388131,0.594465506,0.036182464,0.289719626
0.273624378,0.065062695,0.438370474,0.616147699,0.246723044,0.509383378,0.020213464,0.034266397,0.230931705,0.038197352,0.412048691,0.2,0.182438732,0.032764082,0.074532621,0.221040029,0.035946228,0.556865994,0.573405043,0.594418279,0.036771539,0.289719626
0.273624378,0.065867174,0.437674095,0.616147699,0.243128964,0.506702413,0.021065989,0.034458128,0.231718707,0.038220007,0.414434201,0.2,0.182877806,0.035638123,0.074367513,0.220656004,0.036376133,0.556827093,0.573421954,0.594371051,0.037360613,0.289719626
0.273624378,0.064627079,0.436281337,0.601267567,0.237843552,0.501340483,0.021918514,0.034649859,0.232505704,0.038242662,0.416819711,0.2,0.183316879,0.038512166,0.074202406,0.22027198,0.036806038,0.556788192,0.573438866,0.594323824,0.037949688,0.289719626
0.273624378,0.065122924,0.456128134,0.599889777,0.227906977,0.485254692,0.022771038,0.034841592,0.233292706,0.038265318,0.419205221,0.2,0.183755951,0.041386208,0.074037298,0.219887955,0.037235944,0.556749292,0.573455777,0.594276596,0.038538763,0.289719626
0.273624378,0.067798778,0.474582173,0.610085423,0.232980973,0.487935657,0.023623562,0.035033323,0.234079707,0.038287973,0.421590732,0.2,0.184195026,0.04426025,0.07387219,0.219503931,0.037665849,0.556710391,0.573472689,0.594229368,0.039127837,0.289719626
0.273624378,0.069699372,0.506963788,0.608707633,0.226638478,0.485254692,0.024476087,0.035225054,0.234866705,0.038310628,0.423976242,0.2,0.184634099,0.047134293,0.073707082,0.219119906,0.038095754,0.55667149,0.573489601,0.594182141,0.039716912,0.289719626
0.273624378,0.054774221,0.528551532,0.617525489,0.189006342,0.455764075,0.025328611,0.035416787,0.235653707,0.038333283,0.426361752,0.2,0.185073171,0.050008335,0.073541975,0.218735881,0.038525658,0.556632589,0.573506512,0.594134913,0.040305987,0.289719626
0.273624378,0.058903705,0.527158774,0.635436759,0.175475687,0.45844504,0.026181136,0.035608518,0.236440708,0.038355938,0.428747263,0.2,0.185512246,0.052882377,0.073376867,0.218351857,0.038955563,0.556593688,0.573523424,0.594087686,0.040895062,0.289719626
0.273624378,0.061591826,0.548050139,0.637916781,0.189217759,0.45844504,0.027033661,0.035800249,0.237227709,0.038378592,0.431132773,0.2,0.185951318,0.055756419,0.073211759,0.217967832,0.039385469,0.556554788,0.573540335,0.594040458,0.041484136,0.289719626
0.273624378,0.066288686,0.564066852,0.634610085,0.182452431,0.463806971,0.027886186,0.03599198,0.238014707,0.038401247,0.433518283,0.2,0.186390393,0.058630462,0.073046651,0.217583808,0.039815374,0.556515887,0.573557247,0.593993231,0.042073211,0.289719626
0.273624378,0.066767578,0.550835655,0.628547809,0.192811839,0.474530831,0.028738709,0.036183713,0.238801709,0.038423902,0.435903793,0.2,0.186829465,0.061504503,0.072881544,0.217199783,0.040245279,0.556476986,0.573574158,0.593946003,0.042662286,0.289719626
0.273624378,0.069054861,0.542827298,0.615045467,0.200845666,0.466487936,0.029591234,0.036375444,0.23958871,0.038446557,0.438289304,0.2,0.187268538,0.064378546,0.072716436,0.216815759,0.040675184,0.556438085,0.57359107,0.593898776,0.043251361,0.289719626
